ticker,name,is_etf,exchange
"AAMC","Altisource Asset Management Corp","null","AMEX"
"AAU","Almaden Minerals, Ltd.","null","AMEX"
"ACU","Acme United Corporation.","null","AMEX"
"ACY","AeroCentury Corp.","null","AMEX"
"AE","Adams Resources & Energy, Inc.","null","AMEX"
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","null","AMEX"
"AGE","AgeX Therapeutics, Inc.","null","AMEX"
"AIM","Hemispherx BioPharma, Inc.","null","AMEX"
"AINC","Ashford Inc.","null","AMEX"
"AIRI","Air Industries Group","null","AMEX"
"AKG","Asanko Gold Inc.","null","AMEX"
"ALO","Alio Gold Inc.","null","AMEX"
"AMBO","Ambow Education Holding Ltd.","null","AMEX"
"AMPE","Ampio Pharmaceuticals, Inc.","null","AMEX"
"AMS","American Shared Hospital Services","null","AMEX"
"APT","Alpha Pro Tech, Ltd.","null","AMEX"
"ARMP","Armata Pharmaceuticals, Inc.","null","AMEX"
"ARNC^","Arconic Inc.","null","AMEX"
"ASM","Avino Silver","null","AMEX"
"ATEST","NASDAQ TEST STOCK","null","AMEX"
"ATEST.A","NASDAQ TEST STOCK","null","AMEX"
"ATEST.B","NASDAQ TEST STOCK","null","AMEX"
"ATEST.C","NASDAQ TEST STOCK","null","AMEX"
"ATNM","Actinium Pharmaceuticals, Inc.","null","AMEX"
"AUG","Auryn Resources Inc.","null","AMEX"
"AUMN","Golden Minerals Company","null","AMEX"
"AWX","Avalon Holdings Corporation","null","AMEX"
"AXU","Alexco Resource Corp","null","AMEX"
"BCV","Bancroft Fund Limited","null","AMEX"
"BCV^A","Bancroft Fund Limited","null","AMEX"
"BDL","Flanigan&#39;s Enterprises, Inc.","null","AMEX"
"BDR","Blonder Tongue Laboratories, Inc.","null","AMEX"
"BGI","Birks Group Inc.","null","AMEX"
"BGSF","BG Staffing Inc","null","AMEX"
"BHB","Bar Harbor Bankshares, Inc.","null","AMEX"
"BIOX","Bioceres Crop Solutions Corp.","null","AMEX"
"BIOX.WS","Bioceres Crop Solutions Corp.","null","AMEX"
"BKJ","Bancorp of New Jersey, Inc","null","AMEX"
"BKTI","BK Technologies Corporation","null","AMEX"
"BPMX","BioPharmX Corporation","null","AMEX"
"BRG","Bluerock Residential Growth REIT, Inc.","null","AMEX"
"BRG^A","Bluerock Residential Growth REIT, Inc.","null","AMEX"
"BRG^C","Bluerock Residential Growth REIT, Inc.","null","AMEX"
"BRG^D","Bluerock Residential Growth REIT, Inc.","null","AMEX"
"BRN","Barnwell Industries, Inc.","null","AMEX"
"BTG","B2Gold Corp","null","AMEX"
"BTN","Ballantyne Strong, Inc","null","AMEX"
"BWL.A","Bowl America, Inc.","null","AMEX"
"CANF","Can-Fite Biopharma Ltd","null","AMEX"
"CCC.WS","Clarivate Analytics Plc","null","AMEX"
"CCF","Chase Corporation","null","AMEX"
"CDOR","Condor Hospitality Trust, Inc.","null","AMEX"
"CEI","Camber Energy, Inc.","null","AMEX"
"CET","Central Securities Corporation","null","AMEX"
"CEV","Eaton Vance California Municipal Income Trust","null","AMEX"
"CHAC","Chardan Healthcare Acquisition Corp.","null","AMEX"
"CHAC.U","Chardan Healthcare Acquisition Corp.","null","AMEX"
"CHAC.WS","Chardan Healthcare Acquisition Corp.","null","AMEX"
"CIK","Credit Suisse Asset Management Income Fund, Inc.","null","AMEX"
"CIX","CompX International Inc.","null","AMEX"
"CKX","CKX Lands, Inc.","null","AMEX"
"CLM","Cornerstone Strategic Value Fund, Inc.","null","AMEX"
"CMCL","Caledonia Mining Corporation Plc","null","AMEX"
"CMT","Core Molding Technologies Inc","null","AMEX"
"COHN","Cohen & Company Inc.","null","AMEX"
"CPHI","China Pharma Holdings, Inc.","null","AMEX"
"CQP","Cheniere Energy Partners, LP","null","AMEX"
"CRF","Cornerstone Strategic Return Fund, Inc. (The)","null","AMEX"
"CRHM","CRH Medical Corporation","null","AMEX"
"CRMD","CorMedix Inc.","null","AMEX"
"CTEK","CynergisTek, Inc.","null","AMEX"
"CTO","Consolidated-Tomoka Land Co.","null","AMEX"
"CUO","Continental Materials Corporation","null","AMEX"
"CVM","Cel-Sci Corporation","null","AMEX"
"CVR","Chicago Rivet & Machine Co.","null","AMEX"
"CVRS","Corindus Vascular Robotics, Inc.","null","AMEX"
