ticker,name,is_etf,exchange
"A","Agilent Technologies, Inc.","null","NYSE"
"AA","Alcoa Corporation","null","NYSE"
"AAC","AAC Holdings, Inc.","null","NYSE"
"AAN","Aaron&#39;s,  Inc.","null","NYSE"
"AAP","Advance Auto Parts Inc","null","NYSE"
"AAT","American Assets Trust, Inc.","null","NYSE"
"AB","AllianceBernstein Holding L.P.","null","NYSE"
"ABB","ABB Ltd","null","NYSE"
"ABBV","AbbVie Inc.","null","NYSE"
"ABC","AmerisourceBergen Corporation (Holding Co)","null","NYSE"
"ABEV","Ambev S.A.","null","NYSE"
"ABG","Asbury Automotive Group Inc","null","NYSE"
"ABM","ABM Industries Incorporated","null","NYSE"
"ABR","Arbor Realty Trust","null","NYSE"
"ABR^A","Arbor Realty Trust","null","NYSE"
"ABR^B","Arbor Realty Trust","null","NYSE"
"ABR^C","Arbor Realty Trust","null","NYSE"
"ABT","Abbott Laboratories","null","NYSE"
"AC","Associated Capital Group, Inc.","null","NYSE"
"ACA","Arcosa, Inc.","null","NYSE"
"ACB","Aurora Cannabis Inc.","null","NYSE"
"ACC","American Campus Communities Inc","null","NYSE"
"ACCO","Acco Brands Corporation","null","NYSE"
"ACH","Aluminum Corporation of China Limited","null","NYSE"
"ACM","AECOM","null","NYSE"
"ACN","Accenture plc","null","NYSE"
"ACP","Aberdeen Income Credit Strategies Fund","null","NYSE"
"ACRE","Ares Commercial Real Estate Corporation","null","NYSE"
"ACV","AllianzGI Diversified Income & Convertible Fund","null","NYSE"
"ADC","Agree Realty Corporation","null","NYSE"
"ADM","Archer-Daniels-Midland Company","null","NYSE"
"ADNT","Adient plc","null","NYSE"
"ADS","Alliance Data Systems Corporation","null","NYSE"
"ADSW","Advanced Disposal Services, Inc.","null","NYSE"
"ADT","ADT Inc.","null","NYSE"
"ADX","Adams Diversified Equity Fund, Inc.","null","NYSE"
"AEB","Aegon NV","null","NYSE"
"AEE","Ameren Corporation","null","NYSE"
"AEG","Aegon NV","null","NYSE"
"AEH","Aegon NV","null","NYSE"
"AEL","American Equity Investment Life Holding Company","null","NYSE"
"AEM","Agnico Eagle Mines Limited","null","NYSE"
"AEO","American Eagle Outfitters, Inc.","null","NYSE"
"AEP","American Electric Power Company, Inc.","null","NYSE"
"AEP^B","American Electric Power Company, Inc.","null","NYSE"
"AER","Aercap Holdings N.V.","null","NYSE"
"AES","The AES Corporation","null","NYSE"
"AFB","Alliance National Municipal Income Fund Inc","null","NYSE"
"AFC","Ares Capital Corporation","null","NYSE"
"AFG","American Financial Group, Inc.","null","NYSE"
"AFGB","American Financial Group, Inc.","null","NYSE"
"AFGE","American Financial Group, Inc.","null","NYSE"
"AFGH","American Financial Group, Inc.","null","NYSE"
"AFI","Armstrong Flooring, Inc.","null","NYSE"
"AFL","Aflac Incorporated","null","NYSE"
"AFT","Apollo Senior Floating Rate Fund Inc.","null","NYSE"
"AG","First Majestic Silver Corp.","null","NYSE"
"AGCO","AGCO Corporation","null","NYSE"
"AGD","Aberdeen Global Dynamic Dividend Fund","null","NYSE"
"AGI","Alamos Gold Inc.","null","NYSE"
"AGM","Federal Agricultural Mortgage Corporation","null","NYSE"
"AGM^A","Federal Agricultural Mortgage Corporation","null","NYSE"
"AGM.A","Federal Agricultural Mortgage Corporation","null","NYSE"
"AGM^C","Federal Agricultural Mortgage Corporation","null","NYSE"
"AGM^D","Federal Agricultural Mortgage Corporation","null","NYSE"
"AGN","Allergan plc.","null","NYSE"
"AGO","Assured Guaranty Ltd.","null","NYSE"
"AGO^B","Assured Guaranty Ltd.","null","NYSE"
"AGO^E","Assured Guaranty Ltd.","null","NYSE"
"AGO^F","Assured Guaranty Ltd.","null","NYSE"
"AGR","Avangrid, Inc.","null","NYSE"
"AGRO","Adecoagro S.A.","null","NYSE"
"AGS","PlayAGS, Inc.","null","NYSE"
"AGX","Argan, Inc.","null","NYSE"
"AHC","A.H. Belo Corporation","null","NYSE"
"AHH","Armada Hoffler Properties, Inc.","null","NYSE"
"AHH^A","Armada Hoffler Properties, Inc.","null","NYSE"
"AHL^C","Aspen Insurance Holdings Limited","null","NYSE"
